lh-unknown,5
lh-bankssts,3
lh-caudalanteriorcingulate,1
lh-caudalmiddlefrontal,1
lh-corpuscallosum,5
lh-cuneus,2
lh-entorhinal,3
lh-fusiform,3
lh-inferiorparietal,4
lh-inferiortemporal,3
lh-isthmuscingulate,4
lh-lateraloccipital,2
lh-lateralorbitofrontal,1
lh-lingual,2
lh-medialorbitofrontal,1
lh-middletemporal,3
lh-parahippocampal,3
lh-paracentral,1
lh-parsopercularis,1
lh-parsorbitalis,1
lh-parstriangularis,1
lh-pericalcarine,2
lh-postcentral,4
lh-posteriorcingulate,4
lh-precentral,1
lh-precuneus,4
lh-rostralanteriorcingulate,1
lh-rostralmiddlefrontal,1
lh-superiorfrontal,1
lh-superiorparietal,4
lh-superiortemporal,3
lh-supramarginal,4
lh-frontalpole,1
lh-temporalpole,3
lh-transversetemporal,3
rh-unknown,5
rh-bankssts,3
rh-caudalanteriorcingulate,1
rh-caudalmiddlefrontal,1
rh-corpuscallosum,5
rh-cuneus,2
rh-entorhinal,3
rh-fusiform,3
rh-inferiorparietal,4
rh-inferiortemporal,3
rh-isthmuscingulate,4
rh-lateraloccipital,2
rh-lateralorbitofrontal,1
rh-lingual,2
rh-medialorbitofrontal,1
rh-middletemporal,3
rh-parahippocampal,3
rh-paracentral,1
rh-parsopercularis,1
rh-parsorbitalis,1
rh-parstriangularis,1
rh-pericalcarine,2
rh-postcentral,4
rh-posteriorcingulate,4
rh-precentral,1
rh-precuneus,4
rh-rostralanteriorcingulate,1
rh-rostralmiddlefrontal,1
rh-superiorfrontal,1
rh-superiorparietal,4
rh-superiortemporal,3
rh-supramarginal,4
rh-frontalpole,1
rh-temporalpole,3
rh-transversetemporal,3
Frontal,1
Occipital,2
Temporal,3
Parietal,4
other,5